,Żmigrodzka / Broniewskiego,Plac Powstańców Śląskich,Poza stacją,Szewska / Kazimierza Wielkiego ,Wita Stwosza / Szewska,Dworzec Główny ,Plac Legionów,Plac Kościuszki (Renoma),Leśnica - pętla tramwajowa,Powstańcow Śląskich / Aleja Hallera,Poniatowskiego / Oleśnicka,Nowowiejska / Jedności Narodowej,Drobnera / Plac Bema,Drobnera / Dubois,Kazimierza Wielkiego (Helios),Zwycięska / Ołtaszyńska,Rondo Reagana,Rynek,Wyszyńskiego / Szczytnicka,Kościuszki / Pułaskiego,Legnicka / Zachodnia ,Oporów (pętla tramwajowa),Pereca / Grabiszyńska,Krzycka / Aleja Karkonoska (Park Południowy),Kamienna / Borowska (Aquapark),Robotnicza / Fabryczna,Dyrekcyjna / Borowska (Wroclavia),Kościuszki / Komuny Paryskiej / Zgodna,Plac Świętego Macieja / Trzebnicka,Legnicka (Park Magnolia),Norwida / Wyspiańskiego (PWr),Świdnicka / Piłsudskiego (Hotel Scandic),Zaporoska / Grabiszyńska,Nowowiejska / Wyszyńskiego,Plac Dominikański (Galeria Dominikańska),Sienkiewicza / Piastowska,Borowska (Uniw. Szpital Kliniczny),Traugutta / Kościuszki,Legnicka / Wejherowska,Sienkiewicza / Wyszyńskiego,Żeromskiego / Daszyńskiego,Plac Grunwaldzki (DS Ołówek),Ślężna / Kamienna (Uniw. Ekonomiczny),Aleja Kromera,Strzegomska / Estońska,Wróblewskiego (Teki),Szczęśliwa (Sky Tower),Nowowiejska / Górnickiego,Grabiszyńska / Stalowa,Plac Jana Pawła II (Akademia Muzyczna),Grabiszyńska / Aleja Hallera,Legnicka / Młodych Techników,Traugutta / Pułaskiego,Lotnicza / Na Ostatnim Groszu,Jagiełły / Dmowskiego ,Powstańców Śląskich (Arkady Wrocławskie),Aleja Hallera / Mielecka,Plac Uniwersytecki (UWr),Śrubowa / Strzegomska,"Dworzec Główny, południe"
Żmigrodzka / Broniewskiego,435,2,232,18,22,12,4,14,0,2,8,20,51,46,20,1,20,28,8,5,6,0,1,1,3,2,1,5,42,14,15,3,1,29,32,10,0,0,14,13,18,21,2,68,4,1,2,11,2,11,1,5,4,18,13,16,1,93,0,12
Plac Powstańców Śląskich,2,414,149,48,25,27,14,51,0,117,2,2,15,14,37,14,5,56,10,11,5,2,10,102,61,4,43,5,5,3,4,45,49,3,15,0,12,1,8,3,0,2,55,3,0,1,128,3,16,18,28,2,5,3,8,125,59,17,3,96
Poza stacją,286,171,7351,207,290,333,139,154,82,276,123,109,300,230,245,166,484,420,179,266,160,64,117,280,259,77,229,232,169,244,214,141,186,196,425,104,182,195,244,178,98,231,173,269,137,368,269,183,173,198,168,148,184,208,141,292,144,251,103,350
Szewska / Kazimierza Wielkiego ,22,34,201,525,48,85,39,34,1,50,24,9,50,55,34,14,32,33,59,44,20,2,43,9,36,5,25,31,23,20,41,24,73,23,59,12,20,16,15,19,9,24,4,10,9,10,80,12,37,28,6,53,51,9,21,45,9,35,8,47
Wita Stwosza / Szewska,28,16,286,65,847,88,20,28,1,35,45,37,111,91,37,9,100,71,96,77,25,5,30,13,25,2,30,76,50,19,56,47,27,44,97,26,13,16,18,58,43,51,18,17,6,27,74,41,20,24,15,28,66,19,20,42,4,94,8,46
Dworzec Główny ,19,40,269,56,102,786,88,44,0,42,34,43,82,63,50,5,80,95,78,157,8,1,36,12,52,8,21,164,34,10,81,53,75,36,182,14,33,62,8,44,13,38,110,14,5,28,77,31,41,51,19,21,56,7,13,41,17,36,8,40
Plac Legionów,3,14,139,45,18,95,409,38,0,23,4,1,16,28,41,1,28,62,4,14,11,13,134,9,11,9,20,13,7,24,9,37,152,5,29,5,7,2,10,8,1,3,10,7,4,3,23,6,140,52,67,21,9,6,10,18,12,17,16,44
Plac Kościuszki (Renoma),7,45,167,52,32,43,26,429,0,67,6,11,28,27,55,6,45,50,42,34,5,1,27,17,19,6,27,34,8,14,22,29,26,8,56,26,17,6,12,17,2,9,10,2,1,3,60,2,41,24,10,13,8,4,11,38,23,53,7,55
Leśnica - pętla tramwajowa,0,0,110,0,0,0,0,2,166,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0
Powstańcow Śląskich / Aleja Hallera,3,110,260,62,28,37,35,86,0,585,1,1,7,14,14,39,3,108,11,10,3,11,18,167,81,4,44,11,4,5,5,36,63,3,36,3,45,4,5,5,0,3,59,8,14,4,178,2,50,9,56,4,1,1,18,131,272,15,7,79
